,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,0.0,0.16840672489999997,-0.1698226929,-0.02808308601
10,0.299924558,0.31575825809999997,-0.09763622284,0.6302405
20,0.599851341,-0.08621844649,0.03312587738,0.01542502642
30,0.899778124,-0.1224077269,0.009839057922,-0.07132607698
40,1.199707008,0.06854593753999999,-0.10135746,-0.06497991085
50,1.4499796319999998,-0.0249748528,0.002569198608,-0.03564435244
60,1.650594559,-0.007799565792000001,-1.268884659,0.062408983710000004
70,1.950388344,-0.03816788644,0.9524297714,0.06685733795
80,2.180800269,-0.2956478,2.412134171,0.35977771880000003
90,2.381420395,-0.2123703957,-4.086876869,0.5670214295
100,2.681342945,-0.2382305861,1.3056631090000002,-0.33015704149999997
110,2.981271463,-0.2925084829,0.858499527,-0.5483903885
120,3.281196649,0.14168193939999998,-2.025706291,-0.20231950280000002
130,3.581123134,0.4311871529,1.378829956,0.2002335191
140,3.881050218,0.08349248022000001,-0.8817682266,0.3148834407
150,4.18142183,-0.2955524921,0.1587686539,-0.37203431130000003
160,4.481345814,-0.1437307298,0.11339664460000001,-0.36851012710000003
170,4.781272665,0.1118906513,-0.44656848909999997,0.23450484870000002
180,5.081199216,0.03130305186,0.2406511307,0.4594412446
190,5.381126032999999,-0.1031192392,-0.26031398769999997,-0.1091558933
200,5.681052684,-0.1468430758,0.02474594116,-0.5282990336
210,5.980979501,-0.028939530249999998,-0.2439279556,-0.2185316682
220,6.280906151,0.01034326106,-0.2655858994,-0.111156404
230,6.580833033999999,-0.1743652225,0.07108020782,0.5619276166
240,6.880759618,0.24514710899999997,0.05192375183,-0.06431028247000001
250,7.140996174,-0.1019823253,0.1527423859,-0.07320779562
260,7.342147037,-0.05398949981000001,0.03687381744,-0.3131606877
